Name	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22
AARS	0.231263336	-0.77840008	-2.326724964	-0.05341717	-0.994366567	0.067621209	1.992496299	0.656041951	-0.616219952	0.528128625	0.757702372	-0.223820069	0.506405849	-0.475272609	-1.765862578	-1.284989582	-0.648674131	-0.945927167	-0.055713565	0.77067632	-1.484176478	2.374340056
ABCB1	-2.186283748	0.477070766	1.238191033	-0.628561521	0.99277306	-1.025658051	-2.405714734	-0.863974358	0.548484699	-0.045824151	0.53805999	0.807041631	-1.126162935	-0.332203388	0.206276375	1.241008599	0.768577076	0.490999149	-0.527311048	0.579070488	1.343438462	-0.530657453
ABCB11	-0.664881574	-0.242127227	-0.120323192	-0.449475457	-0.644309155	-0.620807654	-0.833476017	-0.733103933	-0.683713059	0.107693816	-0.327594924	0.535864295	-0.068502376	0.42260139	0.139289187	0.094696115	0.118283344	0.343956258	-0.339951591	-0.023496682	0.718250787	-0.356573607
ABCD3	-1.116060215	1.171891028	-0.383707732	-1.063254694	-0.07773648	-0.927567642	-0.857761553	-1.324361238	-0.599745386	0.833764456	-0.644767763	-0.388009256	-1.265509837	-0.53903172	0.90263199	1.51736742	0.406904579	0.822149497	0.594908438	0.745507503	-0.063297936	0.602636046
ABCG2	-2.618733059	0.437002348	1.517842412	-1.029330807	1.386700363	-0.853818822	-2.490206436	-0.993711096	0.32969571	0.578993033	0.406861784	0.64765839	-0.493121752	0.488131973	0.347022421	1.016977588	0.165736097	1.834183263	-0.989782618	-1.198966299	1.40323673	-0.487085814
ABHD14B	-0.164010087	0.624361056	-0.09603312	-1.23672239	-0.705187024	-1.278414243	-0.260891507	-0.978581838	-1.282162942	2.765456785	0.340230186	-0.210979803	-0.0404683	-0.312835026	-0.363742652	-0.104366811	0.043482448	-0.368235881	-0.847792782	1.25953987	-0.831591475	0.00163713
ABL2	0.578010208	0.374270935	0.503200673	0.462013396	-0.612148345	1.686345346	1.680995174	0.051679467	1.004193248	-1.014143937	-0.20594428	0.164325288	1.365409483	0.639050122	-0.290687566	-0.179782544	0.88472378	0.029834996	1.789359723	1.244159208	1.245141091	0.293308284
ACADVL	-2.725249527	-0.394956856	0.814912558	1.375887222	-0.40356832	0.093983729	-1.296384268	0.080218494	0.428838494	1.165433202	0.234747092	1.298434534	-0.059440024	0.519866002	0.406050814	-0.421933287	0.447053679	1.142618085	-1.160323083	-2.756150106	0.148859925	-2.312940445
ACAT1	-2.771783441	0.609074342	0.310119602	-1.348045354	-0.317741656	-0.865548252	-0.087160656	-0.291324132	-0.561887051	1.16151654	-0.714370263	0.900489936	0.970587018	-0.212738126	1.280998175	1.622911517	0.832847644	1.219393263	0.564728799	0.375404049	0.366625556	-0.501059853
ACOT13	-2.170230678	0.653586112	0.550094721	-1.444125851	0.018108239	-1.366751256	-0.700765506	-0.968067909	-0.470799221	0.644581604	-0.811076706	-0.447254028	0.402302095	0.206762642	0.366139964	1.888120515	0.338345729	0.65475106	-0.317998315	-0.297733225	0.086865613	1.901470752
