Name	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39
AARS	0.351871409	0.639371952	0.879989017	-0.515550758	-0.133324583	-0.766139092	-0.569876902	2.489087999	0.959571449	0.455522957	-0.557764691	2.065821532	-0.830435548	0.168879247	-0.177169108	0.217476715	0.164427288	-0.255803995	-0.282372807	-1.341051868	2.59886165	0.04240821	-0.184916528	-2.221353834	0.204699303	-0.969919158	-0.461566357	0.051669108	-1.142560466	-0.826092259	0.33506615	-0.282859303	-0.441043327	0.707942085	0.165755152	0.750519786	-1.095684697	-0.492524589	0.91716354
ABCB1	-0.121200193	0.193752165	0.465247739	-1.648096098	-0.481344667	0.562720425	1.025792223	-1.210936608	-1.840016778	1.343297949	0.648715839	-0.153403809	-1.258167171	0.744069786	0.00993803	0.849744063	-0.158368624	1.266485263	1.078352559	0.638884809	1.261198552	-0.629091688	-1.525882765	-0.174323902	-1.851973355	-0.006104925	-0.651532073	-0.190417419	1.988853713	-1.086577555	-1.763822863	-0.429050326	-1.390844972	-0.724681855	-0.647883744	0.070426776	-1.343703685	-0.874472997	-0.222268524
ABCB11	0.342762428	-0.373005452	-1.107528738	-0.151245836	0.05843205	0.576180163	-0.89367521	0.865612731	-0.909848967	0.706340731	0.396109511	-1.172697435	-3.219624345	-0.581767677	-0.933230777	0.226529786	0.396109511	0.539491779	2.2194443	1.219288739	-1.592732685	-1.048091551	1.089740983	-0.358632463	-0.874189023	1.240666657	0.848460279	-0.279703704	0.007396431	1.630403428	-0.480479325	-2.063014184	-0.297332464	1.597198359	3.182649796	-0.728684835	0.278055429	-0.202027911	0.711891996
ABCD3	1.751891492	0.71139116	-0.665293246	-1.356549515	0.779694142	1.582541001	-0.715680119	-0.093624413	2.047572229	0.309583076	0.191938354	0.504777927	0.21981865	0.186977494	1.045952179	0.235192975	0.371919905	-0.666322084	-0.895021305	0.536171834	-0.089321873	-2.323542687	-1.879496646	-1.822429045	0.867700222	1.46312351	-0.173244193	0.764110976	1.003287803	0.249162324	0.019161599	-0.074968772	0.395180493	-1.843402573	-2.131923199	-0.590388058	-1.75788133	-1.408811223	-0.872460452
ABCG2	-0.130943284	0.112752111	0.694750907	-0.118408717	-0.40843042	-0.646973764	-0.077112967	-0.672860402	-0.640879234	-0.642939644	1.443014435	0.361952171	-1.239228915	-0.168628375	-0.026289391	-0.535825808	-0.529302788	-0.990758857	-0.165412924	1.212082174	2.296509944	-0.631543055	-0.735515532	-0.431422573	-0.853065502	0.434799892	-0.174632458	0.274387521	2.414756851	-0.75854734	-0.797589092	-0.46008523	-0.609989424	-0.971912695	0.194287472	-0.531300905	-0.541179611	1.017932736	0.866694906
ABHD14B	0.519340416	0.229701386	0.54292667	-1.298376276	1.224895302	0.30162871	0.696482939	0.803192034	0.245812759	1.185304861	0.875805125	-0.44048948	1.047926573	1.401376683	-0.232978283	-1.42790704	0.5716597	1.105620702	-0.72798232	0.771371836	-0.881444401	1.817423329	1.355757012	0.939862183	-2.954662644	0.48484467	0.510624001	-2.391911916	-0.494008338	1.00604097	-0.692240801	-1.507042373	0.284473201	-0.684659256	-2.121582391	-0.711139684	-0.872380694	-0.725305693	-0.361574612
ABL2	-0.703039746	-1.391545227	0.05800684	-1.755511066	-1.21441076	-0.740335969	0.391314746	-0.187544855	-0.882264007	0.023222611	0.099112078	-1.434996991	-1.360283738	-0.985531718	-0.22435876	1.132461471	-1.329366108	-0.099646486	0.254024111	-1.865719592	1.733478815	0.854944207	0.858471992	0.690130012	1.142434212	-3.261893191	-0.313854073	1.047930577	0.632963304	0.277866556	0.867780441	0.473206417	1.561499571	-0.0613483	-0.136108027	0.412608651	0.068242846	-0.006874888	0.287753357
ACADVL	0.100695959	1.35000362	0.570845138	0.809784938	-0.486768093	-0.647504545	0.180863806	1.182379105	-0.392522847	1.883181474	0.643295876	-1.277909755	0.301094996	0.571966712	-0.400796775	-0.164666347	-1.02662626	-0.481040003	-1.704570458	-1.958750449	-1.753059989	-1.628580648	0.659180622	-0.106407399	0.551472942	-0.700579977	-1.308230361	0.096993154	0.992228898	-0.350769293	0.088664397	0.797690241	0.601286568	-0.414913754	-0.036607908	-0.52743554	-0.181272914	0.364969974	-1.096755943
ACAT1	0.371134244	0.289091496	1.050818994	-2.943434038	-0.149263989	0.507935734	0.80006207	0.817089562	-1.67002263	-0.021935319	0.453943635	-0.301195069	-1.256796606	0.678948838	0.891402909	-0.072085964	-0.065197681	0.788316461	0.118278631	0.713303299	0.669230551	-1.008465207	-2.688517138	-1.354246673	-1.068822512	1.276879918	-0.107124857	1.011437402	-0.417830654	-0.321804215	0.526664594	-1.841275882	-2.670699335	-0.387303435	0.213275271	-0.419471535	-0.157693646	0.818796913	0.167966803
ACOT13	-1.03060182	0.449070572	-1.041741306	0.269528296	0.052452684	0.558624639	-0.503864058	-1.049568379	0.24601385	0.268575207	-1.926013526	0.883729449	-0.251205145	1.273918974	-0.117116368	-1.013805124	0.721212639	1.231789684	1.98995786	2.488248611	-0.120072746	-0.42689767	-2.20240932	0.411584902	-0.657086433	1.569233375	-1.18751873	0.409506566	-1.166374082	-0.705128024	-0.281068124	-0.591118285	-0.736922474	-0.529999039	-0.694017307	-0.248460061	-0.175389244	2.228421904	-0.916348236
