Name	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18
AARS	1.031693654	0.44915038	-0.331125116	-1.596812644	1.77519062	-0.348349674	0.657924177	0.861385067	0.49923624	-1.903354603	-0.327133089	0.998823362	0.015621837	-0.222506732	-0.479361077	0.420672644	1.163763094	0.485976073
ABCB1	0.020980307	0.490579529	1.317537518	1.398439093	1.471849733	-0.627477089	-1.518443388	1.180239614	1.453913003	0.340832108	1.243042962	0.233183589	0.871906878	0.586254228	-0.251159813	-0.245104398	-0.055947272	0.767420162
ABCB11	-0.609334729	-0.415396623	0.224070874	0.576341019	-2.036151931	0.342762428	0.486909578	-0.183828576	-1.696727186	2.865303354	0.725256808	0.693884494	0.04786345	1.092013139	0.950054577	0.520654014	-0.134306406	-0.686919534
ABCD3	0.945545957	0.986289942	1.293273588	0.767549978	0.858581649	0.437086943	0.028408905	-1.579305015	-0.412485025	1.022410574	0.36134029	0.436611041	1.920701081	-0.345702388	-0.631577673	0.822892234	-0.193997089	-0.94136311
ABCG2	-1.541157312	0.481129761	1.383362657	2.748641632	-1.157175407	0.009012462	0.159815843	2.530401802	-0.237325899	0.112430062	0.459319303	-0.238543844	-0.096006949	-0.081139765	-0.26893204	-0.249206685	-0.342300399	0.089247158
ABHD14B	0.801410679	-0.906415685	0.741388277	0.683557049	-0.459183351	-0.107022994	1.023270755	-0.435367767	0.030399975	0.587194158	-0.10247823	-1.806110673	0.402812487	1.575933141	0.769077457	0.01737985	1.4510565	0.384021922
ABL2	1.345632359	0.536827432	-1.035264872	-0.975985805	0.599009688	-0.078403743	-1.835652511	-0.355587487	-0.441433929	-2.090301929	0.85553174	-1.274540557	-0.007985326	-0.579623794	0.722041179	-0.100600398	-1.430966338	-0.458828772
AGPAT2	-0.279667549	-0.607602702	0.14710379	0.215952169	0.442734275	0.290802477	0.106964871	0.44550805	-0.761178332	0.605284174	1.313322443	1.190716494	1.090005478	1.841237149	0.566636053	1.102839222	1.797741538	-0.044903393
AIDA	0.916875143	0.916322542	0.433742424	-0.478432089	0.79713514	-0.504264545	-0.520143522	-0.254754621	-1.969253876	-0.3966115	-0.113712763	-0.054155428	-0.250177534	-0.315966442	-0.185614057	0.311844343	0.203843264	0.270298922
AKAP13	-0.822456794	-0.406438097	0.319026485	1.391455662	-0.716547676	-0.632022071	-1.021986296	1.247982973	-0.110604581	0.385483101	0.301326613	0.078728406	-0.531480134	0.600744217	0.595710194	-1.115897426	0.025206442	0.589583539
AKAP5	-0.423944801	-0.49069222	0.829695258	2.476525024	-2.349837799	-0.39110181	-0.370682127	-0.400973322	-0.663077278	0.374351404	-0.806710258	0.339987377	0.03001937	0.795794615	0.572839306	-0.397537064	0.324042526	-0.679252159
AKAP9	-0.03510477	0.455049764	1.800703313	2.055785245	0.103407176	-1.24149741	-1.199510919	0.129628764	0.134646678	0.32280001	0.060789623	-0.502924901	-0.814392357	-0.117130115	-0.593108207	-1.597089505	-1.981451611	-0.872333078
ALDH2	0.845915756	0.637485288	0.697810929	0.324174162	-0.639081045	0.283462792	1.304395146	0.74287829	-0.32746632	0.503037127	1.047592722	-0.442474705	1.80647431	0.788343518	-1.113657094	0.124591441	1.508917223	-1.161770931
ALKBH7	0.598766744	-1.529645285	1.044243111	1.421060049	-0.090952761	-0.66770893	0.287315	0.147925012	-0.481566882	0.070968991	1.345853487	-0.320155234	0.712400901	0.842249003	1.073962294	0.079253576	1.238742236	1.484794872
ANAPC10	2.051067921	1.16269586	0.053846622	-1.139301749	1.429163358	-0.294556643	-0.989580725	-0.854958637	-0.96623317	-0.585153621	-0.55852482	-0.962178367	-0.027286181	-0.688215996	-0.385812417	-0.542497417	-0.816938261	-0.982077913
ANAPC5	0.792464617	1.553878658	-0.107382896	-1.111494985	2.019684917	-0.809548227	-0.136237173	0.595781607	-0.103656747	-0.893187231	0.495156912	0.255759363	0.699859199	-0.245178302	0.74798641	0.460654221	1.417594108	-0.132099885
ANAPC7	1.322332569	0.342644132	-2.199814333	-1.592696707	2.125169096	-0.108891521	-0.317151515	-0.042261883	0.148472376	-1.141489805	-0.148227328	-0.150964629	0.883427392	-0.437757895	-0.081164699	0.229189759	0.975105443	-1.297902939
ANG	0.127254279	-0.363574613	1.092664796	0.17583227	-2.24815716	-0.30632332	-0.683499119	0.13872239	-1.357006038	0.357331857	0.238350407	0.886679932	-0.23321784	1.360120727	0.679150899	-0.897644908	1.895043486	0.30733794
ANGPTL1	-1.361255043	-0.872688057	0.361389626	0.272898138	-1.655305524	0.287169176	0.672919024	1.437566905	0.277316678	0.491709023	-0.387981401	0.646460328	0.050272676	-0.217286968	0.098682833	0.276869679	-0.03078822	0.984716994
ANKRD12	-0.292540125	0.483913132	1.935370589	1.841703613	-0.202956575	-0.228327963	-1.619686483	-0.443339311	0.440831747	-0.292807777	0.767187118	-1.011930924	-0.879294351	0.648449164	0.458128999	-1.409408874	-1.155944753	0.688558013
ANKRD13C	1.013818164	0.228874531	1.139004099	0.116505339	0.972313228	-0.897764147	-0.126304652	-0.757434907	-0.626944523	0.105464458	-0.630953774	-0.694020769	-0.302130826	0.394740721	-1.271591038	0.100972418	-0.354119686	-1.811252687
ANKRD9	0.376814392	-1.618710453	0.450241366	1.318348197	-1.574603464	0.500491808	0.146831255	0.778854825	0.239005161	0.635684231	0.550573254	0.154736243	0.294749632	1.055971076	1.053187827	0.310139106	0.222857439	0.339233247
ANO8	0.711783677	-1.63561779	0.05715427	-0.584341736	0.042628561	0.070255503	0.026299532	-0.753406253	-0.030734658	0.337535766	0.789584675	1.579485807	-0.169964778	0.207956445	-0.430694523	0.019879168	0.665320914	-0.188477057
ANXA11	-0.518116812	-0.744022714	0.097521104	0.873910486	-1.761488325	0.825525212	0.286834165	0.31050201	0.690114919	0.98260924	0.086192466	0.229652987	-0.112671389	1.083462403	0.411763144	0.326739913	-0.273717447	-0.408415701
ANXA6	0.087012612	0.939123485	0.28434327	-1.666700665	1.349149163	-1.629959721	-0.449916012	1.516760846	0.337189122	-1.924673917	-0.411345631	-0.092452817	-0.138593916	-1.453232499	0.343758466	-0.31862773	-1.322554417	1.692987059
