miRNA	Gene	Input
hsa-miR-4687-3p	SCML4	-1
hsa-miR-4687-3p	UBXN2B	-1
hsa-miR-4687-3p	RALBP1	-1
hsa-miR-4687-3p	EVC	-1
hsa-miR-4687-3p	CEACAM1	-1
hsa-miR-4687-3p	ZRANB1	-1
hsa-miR-4687-3p	USP31	-1
hsa-miR-6730-5p	PSEN1	-1
hsa-miR-6730-5p	AIDA	-1
hsa-miR-6730-5p	MYO5C	-1
hsa-miR-6730-5p	TTC9C	-1
hsa-miR-6730-5p	SNX27	-1
hsa-miR-6730-5p	FRYL	-1
hsa-miR-6730-5p	DAZL	-1
hsa-miR-6730-5p	WIF1	-1
hsa-miR-6730-5p	CTSC	-1
hsa-miR-6730-5p	IGF1	-1
cfa-miR-8904b	ASPN	-1
cfa-miR-8904b	OSGEPL1	-1
cfa-miR-8904b	CAMK2D	-1
cfa-miR-8904b	RBM46	-1
cfa-miR-8904b	TRA2A	-1
cfa-miR-8904b	NUFIP2	-1
cfa-miR-8904b	CREBRF	-1
cfa-miR-8904b	DTNA	-1
cfa-miR-8904b	OXR1	-1
cfa-miR-8904b	HLF	-1
cfa-miR-8904b	DCUN1D4	-1
cfa-miR-8904b	PCDH9	-1
cfa-miR-8904b	RNF38	-1
cfa-miR-8904b	AP3M1	-1
cfa-miR-8904b	ARPC5	-1
cfa-miR-8904b	FOXN2	-1
cfa-miR-8904b	VAPA	-1
cfa-miR-8904a	GATA3	-1
cfa-miR-8904a	CTDSPL2	-1
cfa-miR-8904a	TMX3	-1
cfa-miR-8904a	LINGO2	-1
cfa-miR-8904a	SYNJ1	-1
gga-miR-12210-5p	KLF7	-1
gga-miR-12210-5p	TCF12	-1
gga-miR-12210-5p	RPH3A	-1
gga-miR-12210-5p	EIF4G3	-1
gga-miR-12210-5p	SLA	-1
gga-miR-12210-5p	TMEM245	-1
gga-miR-12210-5p	ELAVL4	-1
gga-miR-12210-5p	PRPH2	-1
gga-miR-12210-5p	HRH1	-1
gga-miR-12210-5p	TMEM38B	-1
hsa-miR-6868-3p	ANKRD13C	-1
hsa-miR-6868-3p	MLEC	-1
hsa-miR-6868-3p	TIMP3	-1
hsa-miR-6868-3p	GXYLT1	-1
hsa-miR-6868-3p	CAMSAP2	-1
hsa-miR-6868-3p	FBXO32	-1
hsa-miR-6868-3p	EEF1A1	-1
hsa-miR-6868-3p	C8orf86	-1
hsa-miR-6868-3p	EHF	-1
hsa-miR-6868-3p	PLCXD3	-1
hsa-miR-6868-3p	GPR26	-1
hsa-miR-6868-3p	ACSM2A	-1
hsa-miR-6868-3p	NAV1	-1
hsa-miR-6868-3p	ILDR2	-1
hsa-miR-6868-3p	B3GNT5	-1
hsa-miR-6868-3p	FOXC1	-1
hsa-miR-6868-3p	NEGR1	-1
hsa-miR-6868-3p	ERBB4	-1
hsa-miR-6868-3p	TIMM10B	-1
hsa-miR-6868-3p	CPEB2	-1
hsa-miR-6868-3p	YY2	-1
hsa-miR-6868-3p	NUDT12	-1
hsa-miR-6868-3p	ZNF404	-1
hsa-miR-6868-3p	RFX7	-1
hsa-miR-6868-3p	NFIB	-1
mmu-miR-7003-5p	Hcfc1r1	-1
mmu-miR-7003-5p	Ttyh3	-1
mmu-miR-7003-5p	Syndig1l	-1
mmu-miR-7003-5p	Sorcs2	-1
mmu-miR-7003-5p	Pecam1	-1
mmu-miR-7003-5p	Bbx	-1
mmu-miR-7003-5p	Nos1	-1
mmu-miR-7003-5p	Msn	-1
cfa-miR-26a	FBXL19	-1
cfa-miR-26a	POLR3G	-1
cfa-miR-26a	RSPRY1	-1
cfa-miR-26a	CLASP2	-1
cfa-miR-26a	PTGS2	-1
cfa-miR-26a	CDK8	-1
cfa-miR-26a	EPB41L3	-1
